customer_id,customer_name,total_sales,total_profit
DB-57829-64154,Donna Brewer,349.0,57.0
BJ-56987-29622,Beverly Jones,358.0,65.0
KD-28448-45562,Kimberly Dodson,379.0,91.0
ED-12373-82298,Edward Doyle,2271.0,348.0
DV-46212-27560,Darin Valencia,867.0,151.0
CH-32442-35450,Casey Herman,472.0,112.0
BB-64892-13633,Brandon Blackburn,456.0,137.0
PS-72951-30172,Pamela Stone,1170.0,189.0
JT-42134-96274,Joel Thomas,513.0,87.0
RM-70820-79637,Rebecca Mcdaniel,1858.0,445.0
CL-81193-44195,Christopher Lee,8259.0,1584.0
CT-45987-67830,Crystal Terry,753.0,99.0
RC-70441-91837,Robert Calhoun,5269.0,1199.0
NF-23406-80871,Nancy Fuentes,622.0,83.0
BH-49635-73022,Brian Howell,776.0,143.0
KH-18226-63910,Kristine Herrera,157.0,22.0
RG-14536-48603,Rebecca Gibson,11808.0,1773.0
JS-22259-70978,James Smith,2959.0,528.0
JJ-74882-98412,James Harrison Jr.,1007.0,98.0
JB-29587-86247,Jessica Barker,2650.0,283.0
AC-92212-20344,Alexander Cantu,880.0,205.0
YS-24512-85290,Yvette Sexton,209.0,32.0
MM-85074-56821,Michael Morales,10421.0,1796.0
LN-44901-94954,Leslie Newman,533.0,53.0
JM-55566-16293,Jennifer Miles,2346.0,381.0
TO-45982-32016,Theresa Ochoa,818.0,133.0
KL-44710-57007,Kelly Levine,361.0,101.0
CB-33747-71413,Christian Butler,595.0,138.0
SL-69115-88911,Susan Lewis,560.0,110.0
AJ-66273-79774,Amanda Jones,1583.0,308.0
TM-25796-23104,Traci Marshall,559.0,57.0
EC-58875-73328,Ethan Clark,800.0,143.0
TB-32380-76912,Teresa Bailey,292.0,85.0
SK-21467-84842,Sarah Kim,17205.0,3337.0
CM-51203-89207,Christine Mills,625.0,122.0
MS-69284-55473,Michael Smith,439.0,30.0
KP-28356-17271,Kyle Peters,1406.0,306.0
TB-42883-52200,Tabitha Barton,7806.0,1326.0
RP-57631-99201,Robert Parsons,1018.0,215.0
RB-49845-93017,Robert Boyer,159.0,13.0
MC-37547-96924,Michele Cowan,1064.0,158.0
ME-23369-48553,Michael Ellis,11014.0,2077.0
SV-94416-53609,Sharon Valencia,6825.0,1263.0
CM-75611-76313,Cody Mccarty,3671.0,551.0
MB-87729-75766,Mary Bishop,659.0,74.0
AT-58661-49517,Adam Torres,832.0,135.0
JF-73909-13496,Joe Fitzgerald,5512.0,1050.0
JW-57756-14751,Jeffrey Weaver,1403.0,339.0
MS-31933-53098,Mary Smith,498.0,111.0
JA-78297-63842,John Armstrong,34882.0,4949.0
MW-37352-98336,Michelle Warner,7754.0,1383.0
AT-54549-97567,Alyssa Torres,490.0,91.0
ES-69744-50669,Emily Stevens,215.0,11.0
RS-49071-72388,Rachel Scott,861.0,229.0
LN-92505-16807,Lauren Nunez,466.0,65.0
KA-12321-85020,Kelsey Alvarez,8984.0,1479.0
BP-43799-35050,Brandon Pearson,631.0,131.0
CB-45650-90192,Caleb Brown,16601.0,2635.0
BP-15713-96010,Barry Peterson,482.0,67.0
KM-35411-33776,Kayla Herrera MD,698.0,97.0
KS-25359-73575,Kimberly Snow,1009.0,207.0
MW-71045-98555,Miguel Warren,82.0,18.0
RP-14493-72888,Rebecca Parsons,918.0,213.0
JW-81114-36478,Jennifer Wood,1347.0,203.0
CB-72898-85515,Christopher Berg,638.0,107.0
CC-13161-67759,Chelsea Cummings,1202.0,133.0
MS-75137-58548,Mikayla Stewart,2060.0,339.0
DT-23677-17020,David Taylor,348.0,33.0
RB-29998-10654,Robert Banks,2768.0,565.0
WJ-28533-77658,William Johnson,6452.0,977.0
ME-23508-47231,Mario Edwards,2834.0,510.0
OP-25186-61143,Olivia Parker,532.0,49.0
PT-46002-82453,Patrick Trujillo,7344.0,1082.0
